GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
0500000US45007,45007,"Anderson County, South Carolina",,71393,Marinas,,2016,3,,,
0500000US45013,45013,"Beaufort County, South Carolina",,71393,Marinas,,2016,8,87,454,2198
0500000US45015,45015,"Berkeley County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45017,45017,"Calhoun County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45019,45019,"Charleston County, South Carolina",,71393,Marinas,,2016,21,214,1531,7091
0500000US45027,45027,"Clarendon County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45029,45029,"Colleton County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45035,45035,"Dorchester County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45043,45043,"Georgetown County, South Carolina",,71393,Marinas,,2016,10,123,678,3608
0500000US45045,45045,"Greenville County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45047,45047,"Greenwood County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45051,45051,"Horry County, South Carolina",,71393,Marinas,,2016,11,32,231,1116
0500000US45063,45063,"Lexington County, South Carolina",,71393,Marinas,,2016,3,20,61,307
0500000US45065,45065,"McCormick County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45071,45071,"Newberry County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45073,45073,"Oconee County, South Carolina",,71393,Marinas,,2016,3,44,167,879
0500000US45075,45075,"Orangeburg County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45079,45079,"Richland County, South Carolina",,71393,Marinas,,2016,2,,,
0500000US45083,45083,"Spartanburg County, South Carolina",,71393,Marinas,,2016,1,,,
0500000US45091,45091,"York County, South Carolina",,71393,Marinas,,2016,2,,,
