GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0500000US45021,45021,"Cherokee County, South Carolina",T1_POP$0500000US45021
0500000US45055,45055,"Kershaw County, South Carolina",T1_POP$0500000US45055
