GEO.id,GEO.id2,GEO.display-label,D001
0500000US45001,45001,"Abbeville County, South Carolina",25417
0500000US45003,45003,"Aiken County, South Carolina",160099
0500000US45005,45005,"Allendale County, South Carolina",10419
0500000US45007,45007,"Anderson County, South Carolina",187126
0500000US45009,45009,"Bamberg County, South Carolina",15987
0500000US45011,45011,"Barnwell County, South Carolina",22621
0500000US45013,45013,"Beaufort County, South Carolina",162233
0500000US45015,45015,"Berkeley County, South Carolina",177843
0500000US45017,45017,"Calhoun County, South Carolina",15175
0500000US45019,45019,"Charleston County, South Carolina",350209
0500000US45021,45021,"Cherokee County, South Carolina",55342
0500000US45023,45023,"Chester County, South Carolina",33140
0500000US45025,45025,"Chesterfield County, South Carolina",46734
0500000US45027,45027,"Clarendon County, South Carolina",34971
0500000US45029,45029,"Colleton County, South Carolina",38892
0500000US45031,45031,"Darlington County, South Carolina",68681
0500000US45033,45033,"Dillon County, South Carolina",32062
0500000US45035,45035,"Dorchester County, South Carolina",136555
0500000US45037,45037,"Edgefield County, South Carolina",26985
0500000US45039,45039,"Fairfield County, South Carolina",23956
0500000US45041,45041,"Florence County, South Carolina",136885
0500000US45043,45043,"Georgetown County, South Carolina",60158
0500000US45045,45045,"Greenville County, South Carolina",451225
0500000US45047,45047,"Greenwood County, South Carolina",69661
0500000US45049,45049,"Hampton County, South Carolina",21090
0500000US45051,45051,"Horry County, South Carolina",269291
0500000US45053,45053,"Jasper County, South Carolina",24777
0500000US45055,45055,"Kershaw County, South Carolina",61697
0500000US45057,45057,"Lancaster County, South Carolina",76652
0500000US45059,45059,"Laurens County, South Carolina",66537
0500000US45061,45061,"Lee County, South Carolina",19220
0500000US45063,45063,"Lexington County, South Carolina",262391
0500000US45065,45065,"McCormick County, South Carolina",10233
0500000US45067,45067,"Marion County, South Carolina",33062
0500000US45069,45069,"Marlboro County, South Carolina",28933
0500000US45071,45071,"Newberry County, South Carolina",37508
0500000US45073,45073,"Oconee County, South Carolina",74273
0500000US45075,45075,"Orangeburg County, South Carolina",92501
0500000US45077,45077,"Pickens County, South Carolina",119224
0500000US45079,45079,"Richland County, South Carolina",384504
0500000US45081,45081,"Saluda County, South Carolina",19875
0500000US45083,45083,"Spartanburg County, South Carolina",284307
0500000US45085,45085,"Sumter County, South Carolina",107456
0500000US45087,45087,"Union County, South Carolina",28961
0500000US45089,45089,"Williamsburg County, South Carolina",34423
0500000US45091,45091,"York County, South Carolina",226073
